category,name,imageUrl, description,price ,weight_g
דייניש,דייניש שוקולד ,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים שוקולד פרווה,20,200
דייניש,דייניש קינמון,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון פרווה,20,200
דייניש,דייניש קינמון אגוזים ,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון אגוזי מלך וגלייז לבן פרווה,20,200
דייניש,דייניש קינמון שקדים,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון ושקדים  פרווה,20,200
דייניש,דייניש קינמון אגוזי לוז,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון ואגוזי לוז וסוכר בלגי פרווה,20,200
דייניש,דייניש אוכמניות,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון ואוכמניות פרווה,22,200
דייניש,דייניש דובדבן,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון ודובדבן פרווה,22,200
דייניש,דייניש תפוח,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק שמרים  קינמון ותפוח עץ פרווה,22,200
בצק עלים,שוקולוד סטיקס,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק עלים  שוקולד   פרווה,22,220
בצק עלים,קינמון U,/product_images/PHOTO-2026-03-20-10-09-56_1.jpg,"בצק עלים  קינמון,  אגוזים וסוכר בלגי פרווה",22,185
בצק עלים,פרעצל שוקלוד,/branding/Brooklyn Bake Shop_Label-1.jpg,"בצק עלים  שוקולד,  פרווה",22,230
בצק עלים,טירנאוור דובדבן,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק עלים מילוי דובדבנים משובח עם גלייז  לבן פרווה,22,140
בצק עלים,טירנאוור תפוח עץ,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק עלים מילוי תפוחי עץ  משובחים עם גלייז  פרווה,22,140
בצק עלים,טירנאוור תפוח עץ,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק עלים מילוי  פסים של תפוח עץ  עם סוכר מעל פרווה,22,140
בצק עלים,טירנאוור אוכמניות,/branding/Brooklyn Bake Shop_Label-1.jpg,בצק עלים מילוי אוכמניות עם גלייז לבן פרווה,22,140
דונאטס ,דונאטס לבן סוכריות ,/product_images/PHOTO-2025-11-06-18-11-56_2.jpg,דונאטס לבן וסוכריות פרווה,16,120
דונאטס ,דונאטס שחור סוכריות ,/product_images/PHOTO-2025-11-06-18-11-56_6.jpg,דונאטס שוקלוד וסוכריות פרווה,16,120
דונאטס ,קינמון טוויסט,/product_images/PHOTO-2025-11-06-18-11-56_8.jpg,דונטס בצורת חלה בציפוי קינמון וסוכר,16,110
דונאטס ,סופגניה קסטרד שחור,/product_images/PHOTO-2025-11-06-18-11-56_7.jpg,סופגניה מלוי קרם וניל מצופה עם שוקלוד פרווה,20,230
דונאטס ,סופגניה קסטרד לבן,/product_images/PHOTO-2025-11-16-21-35-56_2.jpg,סופגניה במילוי קרם וניל מצופה לבן פרווה,20,230
מאפינס,בלו ברי מאפינס,/branding/Brooklyn Bake Shop_Label-1.jpg,מאפינס וניל עם אוכמניות פרווה,22,200
מאפינס,שוקלד ציפס מאפינס,/branding/Brooklyn Bake Shop_Label-1.jpg,מאפינס וניל עם שוקלוד ציפ פרווה,19,155
מאפינס, גזר,/branding/Brooklyn Bake Shop_Label-1.jpg,מאפינס גזר וכוסמין פרווה,19,140
מאפינס,מאפינס קינמון ,/branding/Brooklyn Bake Shop_Label-1.jpg,מאפינס וניל עם קינמון פרווה,19,160
עוגיות,בראוניז,/branding/Brooklyn Bake Shop_Label-1.jpg,בראוניז חתוך עם אגוזים בציפוי פאדג׳ שוקולד משובח,14,120
עוגיות,עוגיה B/W,/branding/Brooklyn Bake Shop_Label-1.jpg,עוגיית וניל בציפוי חצי שוקולד חצי לבן,18,150
עוגיות ,קופסת עוגיות ,/branding/Brooklyn Bake Shop_Label-1.jpg,עוגיות מיקס ממגוון עוגיות שבחנות ,42,350
עוגיות ,שוקולד ציפס,/branding/Brooklyn Bake Shop_Label-1.jpg,עוגיית שוקולד צ׳יפס פרווה,16,150
עוגיות ,גרנולה ,/branding/Brooklyn Bake Shop_Label-1.jpg,עוגיית שיבולת שועל פרווה,17,150
